height,geometry
8,"POLYGON ((247237.50009999983 2551669.3225, 247236.89969999995 2551655.5121, 247208.6782999998 2551657.913899999, 247209.85500000045 2551672.0329, 247237.50009999983 2551669.3225))"
6,"POLYGON ((245019.4411000004 2551700.385399999, 245022.55819999985 2551667.9679000005, 245021.1470999997 2551654.562000001, 245010.93939999957 2551654.562000001, 245012.7407999998 2551670.173800001, 245009.1381000001 2551671.3747000005, 245010.1673999997 2551689.9031000007, 245006.93780000042 2551699.5917000007, 245013.5064000003 2551701.2333000004, 245019.4411000004 2551700.385399999), (245016.34350000042 2551680.982000001, 245016.34350000042 2551679.7810999993, 245019.34580000024 2551680.3815, 245016.34350000042 2551680.982000001))"
4,"POLYGON ((244807.41779999994 2551667.1285999995, 244807.41779999994 2551655.4087000005, 244787.14279999956 2551655.4087000005, 244784.7410000004 2551663.8149999995, 244787.25850000046 2551672.6263999995, 244807.41779999994 2551667.1285999995))"
7,"POLYGON ((246725.2048000004 2551663.6722, 246720.4012000002 2551653.4645000007, 246706.5906999996 2551660.6699, 246713.19570000004 2551670.8775999993, 246725.2048000004 2551663.6722))"
3,"POLYGON ((247056.76499999966 2551671.724199999, 247075.37760000024 2551669.9230000004, 247076.00399999972 2551653.634299999, 247055.63719999976 2551656.5194000006, 247056.76499999966 2551671.724199999), (247061.56709999964 2551663.318, 247062.76800000016 2551663.918400001, 247062.16760000028 2551664.5188999996, 247061.56709999964 2551663.318), (247059.76580000017 2551664.5188999996, 247058.56479999982 2551664.5188999996, 247058.56479999982 2551663.918400001, 247059.76580000017 2551664.5188999996), (247065.77029999997 2551659.1148000006, 247066.37069999985 2551659.1148000006, 247066.37069999985 2551660.916200001, 247065.77029999997 2551659.1148000006))"
8,"POLYGON ((247287.93829999957 2551667.5211999994, 247286.16000000015 2551653.8874999993, 247269.32419999968 2551654.3112000003, 247242.30379999988 2551657.3134000003, 247241.70330000017 2551672.3247999996, 247287.93829999957 2551667.5211999994), (247269.92470000032 2551660.3157, 247272.32650000043 2551662.1171000004, 247269.92470000032 2551661.5165999997, 247269.92470000032 2551660.3157))"
4,"POLYGON ((246924.0630999999 2551666.9207000006, 246922.26180000044 2551652.5098, 246913.85539999977 2551653.7106999997, 246912.65450000018 2551666.9207000006, 246924.0630999999 2551666.9207000006))"
5,"POLYGON ((246418.85819999967 2551655.3757000007, 246418.85819999967 2551655.9761999995, 246419.4587000003 2551656.5766000003, 246418.85819999967 2551656.5766000003, 246418.85819999967 2551655.9761999995, 246418.2577999998 2551655.3757000007, 246418.85819999967 2551655.3757000007, 246418.2577999998 2551652.3735000007, 246405.04779999983 2551652.9738999996, 246411.05229999963 2551663.1816000007, 246418.2577999998 2551660.7797999997, 246420.0591000002 2551657.7775, 246420.0591000002 2551655.3757000007, 246418.85819999967 2551655.3757000007))"
8,"POLYGON ((246775.04250000045 2551663.6722, 246769.0379999997 2551651.0626999997, 246761.23209999967 2551654.0648999996, 246756.42839999963 2551657.6677, 246761.83249999955 2551667.8753999993, 246775.04250000045 2551663.6722))"
4,"POLYGON ((247177.45469999965 2551667.5211999994, 247176.85429999977 2551652.5098, 247155.23790000007 2551654.3112000003, 247155.83839999977 2551665.719799999, 247177.45469999965 2551667.5211999994))"
7,"POLYGON ((246007.67260000017 2551667.6421000008, 246005.74590000045 2551661.3803000003, 246005.74590000045 2551657.177100001, 245966.11589999963 2551651.773, 245963.63630000036 2551662.931500001, 245999.1202999996 2551668.497199999, 246007.67260000017 2551667.6421000008))"
6,"POLYGON ((246552.7594999997 2551664.3825000003, 246545.55399999954 2551651.773, 246531.7435999997 2551657.7775, 246537.1475999998 2551671.5879999995, 246552.7594999997 2551664.3825000003))"
7,"POLYGON ((244490.51860000007 2551664.4155, 244492.31989999954 2551653.6073000003, 244476.1076999996 2551650.6051000003, 244473.70579999965 2551656.0090999994, 244474.9068 2551662.013699999, 244486.31539999973 2551665.6163999997, 244490.51860000007 2551664.4155))"
